date,asset_id,operator_id,shift,fuel_liters,idle_pct,empty_travel_pct,avg_speed_kmh,max_coolant_c,shocks,overloads,maintenance_hours_remaining
2026-08-11,FLT-012,OP-007,A,55.66,21.19,39.66,11.45,88.32,0,0,118.0
2026-08-11,FLT-012,OP-042,B,59.19,22.53,41.0,11.52,86.59,0,0,117.75
2026-08-11,FLT-012,OP-094,C,54.95,23.25,44.14,11.31,86.72,0,0,117.5
2026-08-11,FLT-017,OP-028,A,53.62,21.99,42.38,11.6,88.38,0,0,150.0
2026-08-11,FLT-017,OP-074,B,58.14,20.62,44.37,11.8,88.08,0,0,149.75
2026-08-11,FLT-017,OP-105,C,56.1,22.8,44.35,12.37,86.17,0,0,149.5
2026-08-11,FLT-023,OP-051,A,59.72,23.8,41.45,12.43,87.68,0,0,112.0
2026-08-11,FLT-023,OP-094,B,62.08,20.95,42.1,10.95,90.31,0,0,111.75
2026-08-11,FLT-023,OP-021,C,63.0,21.21,41.22,11.44,86.61,0,0,111.5
2026-08-11,FLT-031,OP-088,A,70.37,21.11,39.86,11.05,89.56,0,0,190.0
2026-08-11,FLT-031,OP-021,B,74.71,21.08,36.65,10.95,88.39,0,0,189.75
2026-08-11,FLT-031,OP-063,C,74.81,19.52,38.75,10.86,88.29,0,0,189.5
2026-08-11,FLT-044,OP-015,A,72.59,20.05,40.92,10.18,88.98,0,0,84.0
2026-08-11,FLT-044,OP-063,B,75.05,21.3,38.36,10.29,89.48,0,0,83.75
2026-08-11,FLT-044,OP-105,C,70.85,21.79,40.37,10.95,89.62,0,0,83.5
2026-08-11,FLT-052,OP-074,A,58.09,22.65,42.42,11.65,85.62,0,0,138.0
2026-08-11,FLT-052,OP-105,B,62.46,21.54,41.32,11.99,87.12,0,0,137.75
2026-08-11,FLT-052,OP-033,C,61.85,21.66,40.17,11.2,88.83,0,0,137.5
2026-08-11,FLT-058,OP-094,A,54.7,19.4,40.97,12.84,86.31,0,0,214.0
2026-08-11,FLT-058,OP-033,B,54.5,20.92,39.14,11.86,87.81,0,0,213.75
2026-08-11,FLT-058,OP-088,C,53.05,19.84,41.62,13.09,85.71,0,0,213.5
2026-08-11,FLT-064,OP-105,A,84.79,23.81,35.45,10.43,90.77,0,0,168.0
2026-08-11,FLT-064,OP-088,B,91.11,20.29,40.85,10.59,90.56,0,0,167.75
2026-08-11,FLT-064,OP-028,C,85.95,22.73,40.78,10.67,88.95,0,0,167.5
2026-08-12,FLT-012,OP-015,A,56.85,21.31,39.7,12.32,88.4,0,0,116.65
2026-08-12,FLT-012,OP-051,B,60.3,19.77,42.3,11.98,85.77,0,0,116.4
2026-08-12,FLT-012,OP-105,C,55.81,20.74,39.78,11.84,85.83,0,0,116.15
